TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
19,6,DD,1,317,1227,0.181818182,0.666666667,0.94729693,0.486467634,66322046.11,21.95533141,4448.666558,667.2999837,110263860.3,464.2044674,6917.910645,1037.686597,0.64306505,0.39138137
19,7,D,1,331,5579,0.181818182,0.666666667,0.217541973,0.178673079,66322046.11,21.95533141,4659.757754,698.963663,110263860.3,464.2044674,46386.87165,6958.030747,0.100454236,0.091284338
19,8,D,1,321,6689,0.181818182,0.666666667,0.175960532,0.149631325,66322046.11,21.95533141,4508.978328,676.3467492,110263860.3,464.2044674,56453.6333,8468.044995,0.079870472,0.073963011
19,9,D,1,294,4946,0.181818182,0.666666667,0.217953902,0.178950863,66322046.11,21.95533141,4101.87388,615.281082,110263860.3,464.2044674,40646.09676,6096.914514,0.100916797,0.091666143
19,10,D,1,275,3248,0.181818182,0.666666667,0.310447455,0.236901872,66322046.11,21.95533141,3815.392972,572.3089457,110263860.3,464.2044674,25246.67218,3787.000826,0.15112459,0.131284303
19,11,D,1,291,4570,0.181818182,0.666666667,0.233479212,0.189285081,66322046.11,21.95533141,4056.640052,608.4960078,110263860.3,464.2044674,37236.09461,5585.414192,0.108943757,0.098241012
19,12,V,1,289,2567,0.181818182,0.666666667,0.412803532,0.2921875,66322046.11,21.95533141,4026.484167,603.9726251,110263860.3,464.2044674,19070.57787,2860.58668,0.211135929,0.174328846
19,13,DDT,1,313,755,0.181818182,0.666666667,1.5200883,0.603188507,66322046.11,21.95533141,4388.354788,658.2532182,110263860.3,464.2044674,2637.269655,395.5904482,1.663976522,0.624621316
19,14,DDT,1,308,7121,0.181818182,0.666666667,0.158591958,0.136883358,66322046.11,21.95533141,4312.965075,646.9447613,110263860.3,464.2044674,60371.5081,9055.726215,0.071440406,0.066676976
19,15,DDT,1,310,6779,0.181818182,0.666666667,0.167674682,0.143597086,66322046.11,21.95533141,4343.12096,651.468144,110263860.3,464.2044674,57269.85722,8590.478582,0.075836071,0.070490359
19,16,DDT,1,296,7347,0.181818182,0.666666667,0.147724695,0.128710914,66322046.11,21.95533141,4132.029765,619.8044647,110263860.3,464.2044674,62421.13705,9363.170558,0.066196003,0.062086148
19,17,DDT,1,259,6624,0.181818182,0.666666667,0.143367552,0.125390608,66322046.11,21.95533141,3574.145891,536.1218837,110263860.3,464.2044674,55864.13825,8379.620737,0.063979254,0.06013205
19,18,V,1,291,7100,0.181818182,0.666666667,0.15028169,0.130647729,66322046.11,21.95533141,4056.640052,608.4960078,110263860.3,464.2044674,60181.05586,9027.158378,0.06740726,0.06315046
19,19,DDTTP,1,271,6272,0.181818182,0.666666667,0.158428997,0.13676194,66322046.11,21.95533141,3755.081201,563.2621802,110263860.3,464.2044674,52671.79581,7900.769372,0.071292067,0.066547741
19,20,DDTTP,1,317,6755,0.181818182,0.666666667,0.172070072,0.14680869,66322046.11,21.95533141,4448.666558,667.2999837,110263860.3,464.2044674,57052.1975,8557.829626,0.077975376,0.072335025
19,21,DDTTP,1,309,6928,0.181818182,0.666666667,0.163539261,0.140553281,66322046.11,21.95533141,4328.043018,649.2064527,110263860.3,464.2044674,58621.16126,8793.174189,0.073830728,0.068754531
19,22,DDTTP,1,285,6338,0.181818182,0.666666667,0.164878511,0.141541379,66322046.11,21.95533141,3966.172397,594.9258595,110263860.3,464.2044674,53270.36002,7990.554003,0.074453644,0.069294421
19,23,DDTTP,1,294,3883,0.181818182,0.666666667,0.277620397,0.2172949,66322046.11,21.95533141,4101.87388,615.281082,110263860.3,464.2044674,31005.58537,4650.837806,0.132294676,0.116837674
19,24,V,1,319,8594,0.181818182,0.666666667,0.136102707,0.11979789,66322046.11,21.95533141,4478.822443,671.8233665,110263860.3,464.2044674,73730.37289,11059.55593,0.060745962,0.05726721
